benchmark_id,conflict_detection_distance,conflict_detection_included,conflict_detection_match,dao,depth_analysis_distance,depth_analysis_included,depth_analysis_match,function_semantic_match_distance,function_semantic_match_included,function_semantic_match_match,human_conflict_detection,human_depth_analysis,human_function_semantic_match,human_overall_risk,overall_distance,overall_included,overall_match,tool_conflict_detection,tool_depth_analysis,tool_function_semantic_match,tool_overall_risk
real-arbitrum-0020,0,True,True,Arbitrum,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-compound-0001,1,True,False,Compound,0,True,True,2,True,False,LOW,LOW,LOW,LOW,2,True,False,MEDIUM,LOW,HIGH,HIGH
real-compound-0002,2,True,False,Compound,1,True,False,2,True,False,LOW,LOW,LOW,LOW,2,True,False,HIGH,MEDIUM,HIGH,HIGH
real-compound-0003,3,True,False,Compound,2,True,False,3,True,False,LOW,LOW,LOW,LOW,3,True,False,CRITICAL,HIGH,CRITICAL,CRITICAL
real-compound-0004,0,True,True,Compound,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-compound-0005,0,True,True,Compound,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-compound-0006,0,True,True,Compound,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-compound-0007,2,True,False,Compound,2,True,False,1,True,False,LOW,LOW,LOW,LOW,2,True,False,HIGH,HIGH,MEDIUM,HIGH
real-compound-0008,2,True,False,Compound,1,True,False,1,True,False,LOW,LOW,LOW,LOW,2,True,False,HIGH,MEDIUM,MEDIUM,HIGH
real-compound-0009,2,True,False,Compound,0,True,True,1,True,False,LOW,LOW,LOW,LOW,2,True,False,HIGH,LOW,MEDIUM,HIGH
real-compound-0010,2,True,False,Compound,1,True,False,3,True,False,LOW,LOW,LOW,LOW,3,True,False,HIGH,MEDIUM,CRITICAL,CRITICAL
real-compound-0011,2,True,False,Compound,1,True,False,2,True,False,LOW,LOW,LOW,LOW,2,True,False,HIGH,MEDIUM,HIGH,HIGH
real-compound-0012,0,True,True,Compound,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-compound-0013,3,True,False,Compound,0,True,True,3,True,False,LOW,LOW,LOW,LOW,3,True,False,CRITICAL,LOW,CRITICAL,CRITICAL
real-compound-0014,3,True,False,Compound,2,True,False,3,True,False,LOW,LOW,LOW,LOW,3,True,False,CRITICAL,HIGH,CRITICAL,CRITICAL
real-compound-0015,2,True,False,Compound,1,True,False,3,True,False,LOW,LOW,LOW,LOW,3,True,False,HIGH,MEDIUM,CRITICAL,CRITICAL
real-compound-0016,0,True,True,Compound,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-compound-0017,0,True,True,Compound,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-compound-0018,3,True,False,Compound,2,True,False,3,True,False,LOW,LOW,LOW,LOW,3,True,False,CRITICAL,HIGH,CRITICAL,CRITICAL
real-compound-0019,2,True,False,Compound,0,True,True,1,True,False,LOW,LOW,LOW,LOW,2,True,False,HIGH,LOW,MEDIUM,HIGH
real-compound-0020,1,True,False,Compound,0,True,True,1,True,False,LOW,LOW,LOW,LOW,1,True,False,MEDIUM,LOW,MEDIUM,MEDIUM
real-ens-0001,2,True,False,ENS,0,True,True,2,True,False,LOW,LOW,LOW,LOW,2,True,False,HIGH,LOW,HIGH,HIGH
real-ens-0002,0,True,True,ENS,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-ens-0003,2,True,False,ENS,0,True,True,2,True,False,LOW,LOW,LOW,LOW,2,True,False,HIGH,LOW,HIGH,HIGH
real-ens-0004,0,True,True,ENS,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-ens-0005,0,True,True,ENS,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-ens-0006,0,True,True,ENS,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-ens-0007,0,True,True,ENS,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-ens-0008,0,True,True,ENS,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-ens-0009,0,True,True,ENS,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-ens-0010,0,True,True,ENS,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-ens-0011,1,True,False,ENS,0,True,True,0,True,True,LOW,LOW,LOW,LOW,1,True,False,MEDIUM,LOW,LOW,MEDIUM
real-ens-0012,3,True,False,ENS,2,True,False,3,True,False,LOW,LOW,LOW,LOW,3,True,False,CRITICAL,HIGH,CRITICAL,CRITICAL
real-ens-0013,3,True,False,ENS,0,True,True,3,True,False,LOW,LOW,LOW,LOW,3,True,False,CRITICAL,LOW,CRITICAL,CRITICAL
real-ens-0014,0,True,True,ENS,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-ens-0015,0,True,True,ENS,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-ens-0016,0,True,True,ENS,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-ens-0017,0,True,True,ENS,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-ens-0018,0,True,True,ENS,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-ens-0019,0,True,True,ENS,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-ens-0020,0,True,True,ENS,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-nouns-dao-0001,0,True,True,Nouns DAO,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-nouns-dao-0002,1,True,False,Nouns DAO,0,True,True,1,True,False,LOW,LOW,LOW,LOW,1,True,False,MEDIUM,LOW,MEDIUM,MEDIUM
real-nouns-dao-0003,0,True,True,Nouns DAO,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-nouns-dao-0004,0,True,True,Nouns DAO,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-nouns-dao-0005,0,True,True,Nouns DAO,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-nouns-dao-0006,0,True,True,Nouns DAO,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-nouns-dao-0007,0,True,True,Nouns DAO,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-nouns-dao-0008,1,True,False,Nouns DAO,0,True,True,1,True,False,LOW,LOW,LOW,LOW,1,True,False,MEDIUM,LOW,MEDIUM,MEDIUM
real-nouns-dao-0009,0,True,True,Nouns DAO,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-nouns-dao-0010,2,True,False,Nouns DAO,0,True,True,3,True,False,LOW,LOW,LOW,LOW,3,True,False,HIGH,LOW,CRITICAL,CRITICAL
real-nouns-dao-0011,2,True,False,Nouns DAO,0,True,True,2,True,False,LOW,LOW,LOW,LOW,2,True,False,HIGH,LOW,HIGH,HIGH
real-nouns-dao-0012,0,True,True,Nouns DAO,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-nouns-dao-0013,0,True,True,Nouns DAO,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-nouns-dao-0014,2,True,False,Nouns DAO,0,True,True,2,True,False,LOW,LOW,LOW,LOW,2,True,False,HIGH,LOW,HIGH,HIGH
real-nouns-dao-0015,2,True,False,Nouns DAO,0,True,True,2,True,False,LOW,LOW,LOW,LOW,2,True,False,HIGH,LOW,HIGH,HIGH
real-nouns-dao-0016,2,True,False,Nouns DAO,0,True,True,2,True,False,LOW,LOW,LOW,LOW,2,True,False,HIGH,LOW,HIGH,HIGH
real-nouns-dao-0017,1,True,False,Nouns DAO,0,True,True,0,True,True,LOW,LOW,LOW,LOW,1,True,False,MEDIUM,LOW,LOW,MEDIUM
real-nouns-dao-0018,2,True,False,Nouns DAO,0,True,True,2,True,False,LOW,LOW,LOW,LOW,2,True,False,HIGH,LOW,HIGH,HIGH
real-nouns-dao-0019,0,True,True,Nouns DAO,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-nouns-dao-0020,2,True,False,Nouns DAO,0,True,True,2,True,False,LOW,LOW,LOW,LOW,2,True,False,HIGH,LOW,HIGH,HIGH
real-uniswap-0001,0,True,True,Uniswap,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-uniswap-0002,1,True,False,Uniswap,0,True,True,1,True,False,LOW,LOW,LOW,LOW,1,True,False,MEDIUM,LOW,MEDIUM,MEDIUM
real-uniswap-0003,0,True,True,Uniswap,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-uniswap-0004,0,True,True,Uniswap,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-uniswap-0005,1,True,False,Uniswap,0,True,True,0,True,True,LOW,LOW,LOW,LOW,1,True,False,MEDIUM,LOW,LOW,MEDIUM
real-uniswap-0006,1,True,False,Uniswap,0,True,True,0,True,True,LOW,LOW,LOW,LOW,1,True,False,MEDIUM,LOW,LOW,MEDIUM
real-uniswap-0007,0,True,True,Uniswap,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-uniswap-0008,0,True,True,Uniswap,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-uniswap-0009,0,True,True,Uniswap,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-uniswap-0010,1,True,False,Uniswap,0,True,True,2,True,False,LOW,LOW,LOW,LOW,2,True,False,MEDIUM,LOW,HIGH,HIGH
real-uniswap-0011,0,True,True,Uniswap,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-uniswap-0012,2,True,False,Uniswap,0,True,True,2,True,False,LOW,LOW,LOW,LOW,2,True,False,HIGH,LOW,HIGH,HIGH
real-uniswap-0013,0,True,True,Uniswap,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-uniswap-0014,0,True,True,Uniswap,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-uniswap-0015,0,True,True,Uniswap,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-uniswap-0016,0,True,True,Uniswap,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-uniswap-0017,1,True,False,Uniswap,0,True,True,2,True,False,LOW,LOW,LOW,LOW,2,True,False,MEDIUM,LOW,HIGH,HIGH
real-uniswap-0018,3,True,False,Uniswap,0,True,True,3,True,False,LOW,LOW,LOW,LOW,3,True,False,CRITICAL,LOW,CRITICAL,CRITICAL
real-uniswap-0019,0,True,True,Uniswap,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-uniswap-0020,0,True,True,Uniswap,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
